"2021/07/08 9:08:16 PM GMT+1","5º ano","Zé Gotinha é um ensentivo para as crianças tomarem as vacinas.","Darlan Rosa é o criador do Zé Gotinha .","as propagandas antes era com o Zé Gotinha no chorando sentado num cantinho e dizia que estava triste justamente por causa que não tinha um nome.","ele foi criado em 1986.","Darlan Rosa diz que criou Zé Gotinha com duas pólio ,e hoje em dia ele é muito mais desenhado.","por causa que ainda não tinha um nome .","Com um concurso ,nesse concurso era para mandar sugestões para seu nome.","pois chegou mais de 10 mil cartas com esse nome para ele.","Foi um menino do Distrito Federal que levou o premio .","A ideia da campanha ere incentivar as crianças a não ter medo da vacina .","Por causa que sem a vacina nos estamos desprotegidos das doenças.","Porque ela nos protege .","Poliomielite é uma doença que causa paralisia nas crianças","Pois era numa época que não continha muita tecnologia.","no personagem contem muita alegria.","Ele é escritor atualmente escritor .","Para mostrar que a  fala de algum personagem.","circulada : brinca.","O sentido das palavras destacadas são  que agora ninguenm mais vai ter medo de tomar a vacina.","Ter muito medo.","Arquivo pessoal de Darlan Rasa."
"2021/07/08 9:11:25 PM GMT+1","5º ano","Zé Gotinha é um personagem criado por Darlan Rosa em 1986 para incentivar as crianças a tomarem as vacinas sem medo.","Darlan Rosa é o criador do Zé Gotinha.","As propagandas eram assustadoras e assim deixar as crianças com medo da doença.","O Zé Gotinha foi criado por Darlan Rosa em 1986","Antes ele era a representação da vacina em si e hoje ele é uma gota.","Ele aparecia no comercial chorando porque ele não tinha nome.","Por meio de um concurso.","Os organizadores entenderam que o nome deveria ser Zé Gotinha porque mais de 10 mil pessoas escolheram esse nome.","Um menino do Distrito Federal levou o prêmio.","A ideia principal era para que o Zé Gotinha incentivasse as crianças a tomarem vacina.","Vacina é um assunto sério porque ela pode salvar vidas.","Não é preciso ter medo de tomar vacina porque é pro seu próprio bem.","Poliomielite é uma doença que causa paralisia nas crianças.","O curso deve ter sido por meio de cartas porque nem todos deviam ter condições de ter aparelhos para mandar e-mails.","Coragem.","Atualmente ele trabalha como escultor.","Para repetir falas.","Sublinhado-Darlan virou até nome de prédio residencial na cidade

circulado ""aqui sou uma pessoa ilustre"".","A barreira dos medos acabou:o medo acabou
Deslanchou:tornou-se um sucesso.","Ter muito medo.","Do arquivo pessoal de Darlan Rosa."
"2021/07/08 9:11:59 PM GMT+1","5º ano","Zé Gotinha foi um personagem que influencio as crianças tomarem vacina.","Darlan Rosa foi o criador do Zé Gotinha.","Assustadora.","1986.","Antigamente ainda não se chamava zé  gotinha mas agora chama.","Por que naquela época ainda não tinha nome.","Foi um concurso que escolheu.","Por que muitas crianças escolheram esse nome.","Um menino do Distrito Federal.","A ideia era passar coragem pra quem tinha medo de se vacinar.","Por que se não tomarmos vacina podemos ficar doentes ou até morrer.","Por que e bom tomar vacina.","Doença que causa paralisia nas crianças.","Por que seriam cartas do Brasil todo.","Sua imagem fofinha.","Atualmente ele é escultor.","As aspas servem para destacar o que a pessoa tinha falado.","Sublinhado: Darlan virou até nome de prédio residencial na cidade.
Circulado: Aqui, sou uma pessoa ilustre.","Que o medo acabou, e tornou-se um sucesso.","Ficar com muito medo.","O desenho foi selecionado do arquivo pessoal de Darlan Rosa, seu criador."
"2021/07/08 9:13:33 PM GMT+1","5º ano","Zé Gotinha é o personagem para atrair pessoas para tomar a vacina.","Darlan Rosa é o criador do Zé Gotinha.","Antes do Zé Gotinha chegar chegavam cartas de caminão.","Zé Gotinha foi criado em1986.","Zé Gotinha nasceu em 1986. Sim Zé Gotinha era diferente do que é hoje ele tem traços mais elaborados.Ele é azul,feito por duas gotinahas de polio.Ele é mais bonito mais elaborado muito mais traçado.","Porque ele não tinha nome.","Por um concurso.","Porque as cartas sugeriram o nome Zé Gotinha.","Um menino do Destrito Federal levou o premio.","Aideia principal era que as pessoas escolhessem o nome dele.","Vacina era um assunto serio para agente não ficar doente.","Não é preciso ter medo da vacina por causa que ela faz bem pra gente.","Polio é o apelido poliomielete.","Porque na epoca não havia celulares.","A felicidade do personagem que incentiva as crianças.","Atualmente ele trbalha como escultor em Brasilia.","As aspas servem para a fala do criador.","Sublinhar:Darlan virou até nome de prédio residencial na cidade. Circule:Aqui, sou uma pessoa ilustre.","Barreira dos medos: significa acabou os medos Deslanchou:foi em frente.","Morrer de medo: significa ter muito medo.","Ela selecionou esse desenho no começo com uma gota."
"2021/07/08 9:14:45 PM GMT+1","5º ano","Zé Gotinha é um personagem que tem  representação de uma vacina.","Darlan Rosa foi a criador do Zé Gotinha.","As propagandas eram assustadores.","O Zé Gotinha foi criado em 1986.","O Zé Gotinha tinha olhos pequenos, hoje em dia o Zé Gotinha tem olhos maiores, hoje ele é mais desenhado, tem um símbolo no peito.","O Zé Gotinha aparecia no comercial chorando pois ele não tinha nome.","Através de um concurso de cartas depois foi sorteado uma carta.","Porque a maioria tinha o nome Zé Gotinha.","Um menino do Distrito Federal.","A ideia principal era que o Zé Gotinha passasse coragem para todos que fossem tomar vacina.","A vacina é um assunto sério pois precisamos nos proteger dos vírus.","Não é preciso ter medo de tomar vacina pois não dói.","Poliomielite é uma doença que causa paralisia nas crianças.","Pois naquela época não tinha como mandar mensagem.","O personagem tirava o medo das crianças.","Atualmente o criador do Zé Gotinha trabalha como escultor.","As aspas serve para representar a fala de uma pessoa.","Sublinhado: Aqui sou uma pessoa ilustre.
Circulado: Darlan virou até nome de prédio residencial na cidade.","barreira dos medos: medo acabou.
deslanchou: fez sucesso","morrer de medo significa muito medo.","Ele foi selecionado do arquivo pessoal do Darlan Rosa."
"2021/07/08 9:14:48 PM GMT+1","5º ano","Zé Gotinha foi um personagem criado para dar a coragem para as crianças tomarem a vacina.","Darlan Rosa era a criador do Zé Gotinha.","Os programas de vacina antes da criação do Zé Gotinha eram assustadores  e  as crianças ficavam com medo.","O Zé Gotinha foi criado em 1986.","Zé Gotinha foi criado em 1986,ele tinha * olhos pequenos, hoje os olhos dele são maiores e outras características.","O Zé  Gotinha aparecia no comercial chorando pois ele não tinha nome.","Foi a traves de um concurso cartas depois por sorteio que foi criado o nome Zé Gotinha.","Porque a maioria  tinham o nome Zé Gotinha.","Pois um menino dos  distrito federal que ganhou o concurso das cartas.","A ideia principal da campanha era  dar coragem para as crianças tomarem vacina.","A vacina e em assunto sério pois  precisamos nos protegem das doenças.","Não é preciso ter medo de tomar vacina pois não dói."," Poliomielite e uma doença que causa paralisia nas crianças.","O concurso foi feito por meio de cartas pois naquela época não  tinha mensagem e nem outro aparelho.","O personagem tirava o medo das crianças.","O criador do Zé Gotinha atualmente e escultor.","As aspas servem para representar a fala da pessoa.","Sublinhado: “Aqui, sou uma pessoa ilustre”.","Barreira dos medos: o medo acabou.
Deslanchou: fez sucesso.","A palavra  “morrer de medo”  significa muito medo","Esse desenho foi selecionado  do arquivo pessoal do Darlan Rosa."
"2021/07/08 9:15:49 PM GMT+1","5º ano","Zé Gotinha foi um personagem criado para dar coragem para as crianças tomarem vacina .","Darlan Rosa foi o criador do personagem Zé Gotinha .","Os propagandas eram para as asustar as crianças para elas não ficarem doentes .","O Zé Gotinha foi criado no ano de 1986 .","Zé Gotinha foi criado no ano de 1986,ele só teve mudanças na sua aparencia.","No comercial ele estava chorando porque não tinha nome .","Foi a traves de cartas que foi criado o nome Zé Gotinha.","Porque a maioria das cartas tinham o nome Zé Gotinha.","Um menino do distrito federal que ganhou o concurso das cartas. ","A ideia principal da campanha era dar coragem para as crianças tomarem vacina.","A vacina é um assunto sério porque ela te ajuda a melhorar sua doença .","Não é preciso ter medo porque a vacina não dói .","É uma doença que é causada nas crinças.","O concurso foi feito por meios de cartas porque eles queriam respostas do mundo inteiro.","O personagem tem carismo pelas crianças.","Atualmente o criador do Zé Gotinha trabalha como escultor.","os trechos entre aspas são as falas das pessoas do Zé Gotinha.","Subhinhado,fiz um boneco com duas gotinhas
Opinião, aqui sou uma pessoa ilustre","Barreira dos medos ,o  medo acabou.
Deslachou , sucesso","Morer de medo é ter muito medo.","A reportagem"
"2021/07/08 9:18:04 PM GMT+1","5º ano","Zé gotinha foi a criação de Darlan ROSA para as pessoas se vacinarem.","Darlan Rosa foi o criador do zé gotinha.","As  propagandas eram assustadores.","Zé gotinha nasceu no ano de 1986 .","Zé gotinha era de  pólio hoje ele e mais traçado.","Zé gotinha aparecia chorado porque ele não tinha um nome.","A escolha do nome do zé gotinha foi num concurso.","Porque havia mas de 10 mil cartas com o nome zé gotinha.","Foi um menino do distrito federal.","A ideia principal era para as famílias entenderem que vacina e assunto serio.","Vacina e um assunto serio pois pode provocar danos e doenças ao nosso corpo .","Pois evita que nós fiquemos doentes.","Poliomielite doença que causa paralisia nas crianças.","Porque naquela época não tinha internet."," E porque ele tinha carismo.","Hoje em dia ele trabalha como escultor.","Pois é fala do criador do zé gotinha.","Sublinhe Darlan virou até nome de pré dio residencial na cidade circule aqui sou uma pessoa ilustre.","barreira dos medos é acabou o medo deslanchou é segui enfrente.","morrer de medo significa ter muito medo.","O arquivo pessoal de Darlan Rosa."
"2021/07/08 9:19:04 PM GMT+1","5º ano","Zé gotimha é o personagem para atrair criãnças para tomarem vacina.","Darlan Rosa é o criador do zé gotinha.","Antes do zé gotinha chegar chegavam cartas  de caminhão nos municipios.","Zé gotinha foi criado em 1986.","Zé gotinha nasceu em 1986, sim,  feliz divertido, ele é mais trasado elaborado.","Porque ele não tinha nome.","Por cartas que o publico mandava.","Poque varias pessoas votaram nesse nome.","Um menino do distrito federal.","Atrair pessoas para tomarem vacina.","Para proteger as pessoas.","Pois elas só fazem o bem.","Poliomite é uma doença que causa paralisia nas criãnças.","Acho que porque naquela época não tinha geito de mandar mensagem.","Ele era carismatico.","Ele trabalha como escutor.","São as falas do criador do zé gotinha.","sublinhe Darlan virou até nome de prédio residencial na cidade. sirculeAqui, sou uma pessoa ilustre”, brinca.","O medo acabou ea campanha aumentou.","Ter muito medo.","O arquivo pessoal de darlan rosa."
"2021/07/08 9:24:04 PM GMT+1","5º ano","Zé Gotinha e o personagem que Darlan criou no ano de 1986 sendo o representante da vacina em si não sendo o mascote que é hoje e ele nem sempre teve o nome de Zé Gotinha antes ele aparecia num comercial sentado em um cantinho chorando, justamente por ainda não ter um nome.","Darlan foi quem criou Zé Gotinha que hoje em dia e escultor e tem 74 anos de idade.","As propagandas eram assustadoras, pensando que isso ia ajudar mas não isso botava medo nas crianças.","Zé Gotinha foi criado em 1986 e aos dois anos já era um sucesso.","Antigamente ele era feito pelas duas gotinhas da Pólio. Atualmente ele é melhor desenhado e com traços mais modernos.","Por que ele ainda não tinha um nome igual fala no texto.","A escolha do nome de Zé Gotinha foi por meio de um concurso em que os brasileiros enviavam cartas e depois por um sorteio entre as dez mil cartas enviadas com o mesmo nome.","Por que tinha dez mil cartas com o nome de Zé Gotinha e por isso e os organizadores decidiram por esse nome.","Um menino do Distrito Federal levou o prêmio do nome de Zé Gotinha.","A maior campanha foi para encorajar as crianças a tomar a vacina por que a vacina e um assunto sério.","Por que a vacina e um meio de prevenir doenças serias igual o Covid-19.","Não devemos ter medo medo por que a vacina não é uma coisa ruim é uma coisa muito boa.","É uma doença que causa paralisia nas crianças.","Por que tem pessoas que não tem acesso a dispositivos que possam votar.","O sorriso do Zé Gotinha e o carisma.","Ele é escultor.","Para indicar a fala de um personagem ou uma pessoa.","(sublinhado)Darlan virou até nome de prédio residencial na cidade.
(circulado)“Aqui, sou uma pessoa ilustre”.","Barreira dos medos: medo de fazer algo coisa que impedi a pessoa de fazer aquela coisa.
deslanchou: caiu, acabou.","Ficar com muito medo.","Do arquivo pessoal de Darlan."
"2021/07/08 9:25:36 PM GMT+1","5º ano","Zé Gotinha é um personagem criado por Darlan Rosa, para que alguém forte passasse coragem a quem precisava se vacinar, no começo Zé Gotinha sequer tinha um nome, mas as pessoas mandaram cartas com sugestões de nomes, mais de 10 mil cartas sugeriram esse nome, que prevalece até os dias atuais.","Darlan Rosa é o ilustre criador do personagem Zé Gotinha, que atualmente possui 74 anos de idade.","Antes da criação do Zé Gotinha, as propagandas de vacina eram assustadoras, pois achava--se que se as pessoas tivessem medo de pegar doenças estariam mais dispostas a tomar a vacina, mas isso só piorava as coisas.","Zé Gotinha foi criado em 1986, numa época em que as propagandas de vacinação eram assustadoras, pois achava-se que as pessoas precisavam morrer de medo para entender a seriedade de tomar a vacina.","O Zé Gotinha atualmente tem traços mais suaves, é mais modernizado e é uma animação em 3D. E quando nasceu ele era feito das 2 gotinhas da poliomielite e era uma animação em 2D.","Ele aparecia em um comercial chorando, pois não tinha um nome.","A escolha de seu nome foi feita assim: as pessoas mandavam cartas com sugestões de nomes e houveram mais de 10 mil sugestões para Zé Gotinha.","Foram enviadas mais 10 mil cartas com a sugestão de nome Zé Gotinha.","Foi feito um sorteio para decidir quem levaria o prêmio pela escolha do nome, e quem ganhou foi um menino do Distrito Federal.","A ideia era que alguém forte passasse coragem a quem tinha que se vacinar.","Deve-se tomar a vacina para prevenir doenças.","Não é preciso ter medo de tomar a vacina, pois ela na verdade é uma coisa boa, te protege de ficar doente e não há nada a temer.","Poliomielite é uma doença que causa paralisia nas crianças.","Em certos casos algumas pessoas não tinham acesso a internet.","Ele tem uma expressão dócil e carisma.","Atualmente ele trabalha como escultor","Ele serve para indicar a fala de alguém.","SUBILINHADO : Darlan virou até nome de prédio residencial na cidade.
CIRCULADO : “Aqui, sou uma pessoa ilustre”, brinca. ","Significa que o medo acabou. Deslanchou significa que tornou-se um sucesso","Significa ficar com muito medo.","Ela selecionou esse desenho do Arquivo Pessoal Darlan Rosa."
"2021/07/08 9:26:07 PM GMT+1","5º ano","Zé Gotinha é um personagem criado pelo Darlan Rosa , criado com o intuito de encorajar as crianças a tomarem vacina, e hoje ele é um eterno mascote  para representar a vacina do Brasil. Ele nem sempre teve esse nome.","Darlan Rosa foi quem criou o personagem Zé Gotinha em 1986.","Antes de Zé Gotinha existir as propagandas de acordo com o texto eram assustadoras pois achavam que seria bom se as crianças tivessem medo de pegar doenças, para que elas sentissem a necessidade de tomar vacina.","Zé Gotinha foi criado em 1986, em uma época em que as propagandas de vacina davam medo nos menores.","Zé Gotinha era feito com duas gotinhas da pólio. Hoje ele é mais modernizado com traços mais leves e hoje em dia sua propaganda também mudou ","Zé Gotinha aparecia chorando no comercial pois não tinha nome.","foi feito um  concurso para as crianças da época escolhe -sem seu nome.","Foram enviadas mais de 10 mil cartas pedindo este nome e os organizadores decidiram ser este o nome.","Foi executado um sorteio para decidir quem iria ganhar o prêmio e quem ganhou foi um menino do Distrito Federal.","A principal campanha era encorajar as crianças a tomar vacina ","Pois a vacina é uma parte de prevenção contra doenças.","A vacina é  muito boa pois ela vai te da anticorpos e prevenção contra doenças.","É uma doença que causa paralisia nas crianças ","Por  ter crianças de outros estados  que queriam participar e não tinham acesso a internet.","O personagem tem carisma, seu sorriso e sua coragem.","Atualmente ele é escultor na cidade de Brasília.","Para identificar as falas de pessoas.  ","SUBLINHADO: Darlan virou até nome de prédio residencial na cidade.
CIRCULADO: Aqui, sou uma pessoa ilustre”.","Que o medo acabou . Deslanchou significa acabou. ","Ficar com muito medo.","Do arquivo pessoal de Darlan."
"2021/07/08 9:33:48 PM GMT+1","5º ano","Personagem criado por Darlan Rosa com intuito de fazer as crianças perderem medo de se vacinar. O personagem não havia recebido um nome , por isso foi feito um concurso que pediu para todos os brasileiros enviarem sugestões de nomes para aquele personagem. para escolher um vencedor foi realizado um sorteio e um menino do Distrito Federeal levou o prêmio.","Darlan Rosa foi o criador do personagem Zé Gotinha.","Antes do personagem Zé Gotinha as propagandas passavam medo , eles achavam que assim as crianças teriam medo de ficar doentes e terem que se vacinar já que era tão ruim.","O personagem Zé Gotinha foi criado em 1986.","Antes o personagem não era tão bem desenhado e as animações eram diferentes das de hoje ,agora ele tem traços melhores e as animações estão mais avançadas.","Ele aparecia chorando porque ainda não tinha um nome.","A  escolha foi feita a partir de um concurso em que brasileiros mandavam sugestões de nomes.  Depois de 10 mil cartas falando que o nome Zé Gotinha deveria ser escolhidos eles decidiram que seria  esse nome.","Porque 10 mil pessoas acharam esse nome bom.","O ganhador do concurso foi um menino do Distrito Federal.","Fazer que as pessoas entendam que a vacina é algo tranquilo e que não dói tanto quanto as propagandas de antes mostravam.","Porque a vacina esta relacionada a saúde mas, mesmo sendo algo sério não dói nada.","Porque tomar vacina não dói nada e ainda protege a nossa saúde.","É a doença que causa paralisia em crianças.","Porque antigamente não existia tanta tecnologia como agora e não dava para mandar e-mails ou mensagens.","Aparentar ser doce , fofo , legal e etc.","Hoje em dia ele trabalha como escultor.","Estas aspas servem para indicar falas de alguma pessoa.","Sublinhado:Darlan virou até nome de prédio residencial na cidade.
Circulado: “Aqui, sou uma pessoa ilustre”","Barreira doas medos-o medo impedir algo.o
Deslanchou-algo dar certo.","Ter muito medo de algo.","O desenho foi selecionado do arquivo pessoal de seu criador ,Darlan Rosa."
"2021/07/08 9:49:32 PM GMT+1","5º ano","Zé Gotinha é um personagem que representa a vacinação.","Darlan Rosa foi o criador do Zé Gotinha.","Ele aparecia chorando porque não tinha nome, então pedia para o público para mandar cartas a ele para decidirem o seu nome.","Ele foi criado em 1986.´","Ele era desenhado a partir das duas gotinhas da vacina da pólio e atualmente ele tem traços mais elaborados.","Porque ele não tinha nome.","Por meio de um concurso e de um sorteio.","Porque a maioria das cartas do público deram esse nome.","Um menino do Distrito Federal.","Alguém de coragem desse força para os que deviam vacinar.","Porque ela da imunidade ao seu corpo contra os vírus.","Porque ela te protege.","Doença que causa paralisia.","Porque naquela época não tinha como enviar mensagem.","Por ser carinhoso.","Trabalha como escultor.","Para indicar uma fala do personagem da reportagem.","Sublinhado-Darlan virou até nome de prédio residencial na cidade, opinião- ""Aqui, sou uma pessoa ilustre”.","Barreira dos medos-medo que as pessoas tem, deslanchou-seguiu em frente.","ter muito medo.","O desenho foi selecionado do arquivo pessoal de Darlan Rosa, o criador dele."
"2021/07/09 7:56:41 PM GMT+1","5º ano","Zé Gotinha é um personagem que representa a vacina.","Darlan Rosa é o pai e criador do Zé Gotinha.","As propagandas eram assustadoras, com a ideia das crianças ficarem com medo de ficar doentes e quererem se vacinar.","Zé Gotinha foi criado em 1986.","Quando Zé Gotinha nasceu, era um desenho em uma folha de papel feita com duas gotinhas de pólio, no formato de uma gota. Atualmente, Zé Gotinha tem sua animação em 3d e continua com seu formato de gota.","Zé Gotinha estava chorando no comercial pois não tinha um nome.","A escolha do nome do personafem foi feita com sugestões de mais de 10 mil brasileiros.","Eles entenderam isso por meio das sugestões.","Um menino do destrito federal.","A ideia era fazer as crianças perderem o medo de se vacinar.","Vacina é um assunto muito serio pois tomando a vacina vc consegue se previnir da tal doença. Manter a carterinha em dia também é muito importante.","Não é preciso ter medo pios a vacina não é do mal e sim uma maneira de nos proteger das doenças.","É uma doença que causa paralisia nas crianças.","O concurso deve ter sido feito por cartas para todos poderem participar e ninguem ficar de fora, assim seria mais justo, todos os brasileiros","O personagem é chamativo e deve ter chamado a atenção das crianças fazendo elas perderem o medo com seus comerciais chamativos e divertidos.","Ele trabalha como escultor atualmente.","As aspas são uma representação te falas.","""Aqui, sou uma pessoa liustre""","O sentido da primeira palavra é que as crianças perderam o medo e a campanha só foi crescendo.","O significado é q as crianças ficassem com medo de  adoeçerem.","Tendo acesso ao arquivo pessoal de Darlan."
"2021/07/09 8:46:46 PM GMT+1","4º ano","E UM MASCOTE QUE INSENTIVA AS PESSOAS A TOMAREM VASINA","QUEM CRIOU O ZE GOTINHA","BEM DESAMANIDAS","EM 1983","UMA GOTINHA","ELE TAVA SENTINDO TRISTEZA PORQUE ELE IA TOMA VASINA","PORQUE AS VASINAS SOLTAM GOTAS","PORQUE FAZ ATE UMPOUCO DE SENTINDO","DALAO ROSA ","INSENTIVAR AS CRIANSAS A TOMAR VACINA ","PORQUE ELA TRATA DE MUITAS DOENSA PIRIGOSAS","PORQUE E LA VAI TE CURAR DO MAU QUE VC ESTA SENTINDO
","E UMA PARALIZIA  ","POIS FORAM SUGESTOIS MANDADAS POR BRASILEIROS","E AMIGAVEL DIVERTIDO E ANIMADO","ELE MORA EM BRASILHA E TEM 74 ANOS","CCBB ","FATO QUANDO ZE GOTINHA TINHA 2 ANOS JA ERA UM SUSESO OPINIAOSOU UMA PESSOUA ILISTRIA"," A BARREIRA SIGNIFICA O MEDO DE TOMSR VACINA E A PALAVRA DESLANCHOU SIGNIFICA UMA CAMPANHA DO ZE DO ZE GOTINHA","MORER DE MEDO E FICAR COM MUITO MEDO ","DO CRIADOR"
"2021/07/09 9:01:59 PM GMT+1","4º ano","um mascoti ","o criador do ze gotinha","eram pesoas doentes que pasavam mau para ensenteva a tomar a vasina","o ze gotinha  foi criado no ano de  1986","quando ele era criança era so uma gotinha  agora ele tem perna boca so com uma capesa feita de gotas","pois ele nao tinha nome ","o nome ze gotinha foi escolido por brazileiro","porque mais de 10mil pesoas queriam ze gotinhaq","um menino do Destrito Federu ganhol o sorteio","ele tinha dois anos da campanha dele ","pois se nao tornarmos a vasina podemos morrer","porque a vasina e so uma pica e fas muito bem pra saude","uma doença que da parlisia nas crianças","porque foi mandada por brasileiros","pois ele e uma gota que se refere o liquido dentro da vasina","ele fas prpagranda de vasina","par testaquar a frase do criador","fanto que aqui sou uma pessoa ilustre´brinca´","se refere a campanha deslanchou","ficar muito asutado ","da propaganda do ze gotinha"
"2021/07/09 9:02:34 PM GMT+1","4º ano","Ze gotinha nasceu da 35 anos","10 mil","35 anos
","10 mil","10mel10","poque a gotinha se tava ","poque e uma gotinha","Par que lel não tilha o nome ","por que lel  uma gotinha ","não sei ","não sei","por que  lel não que","por que lel não poliomielite ","pro  que lel não carta","não sei","Lel a gotinha ","não sei","pro que doi","não sei","não doi","E mutolegau"
"2021/07/09 9:04:11 PM GMT+1","4º ano","Zé Gotinha é um personagem criado para dar coragem a criança tomar vacina.","Darlan Rosa é o criador do Zé Gotinha que mora em Brasília.","As propagandas antes do Zé Gotinha eram assustadoras.","O Zé Gotinha foi criado em 1986.","Quando Zé Gotinha nasceu como duas gotinhas de pólio, e hoje é um homem em formato de gota.","Ele aparecia no comercial chorando porque ele não tinha nome.","A escolha foi feita por meio de cartas.","Os organizadores entenderam que o nome deveria ser Zé Gotinha porque 10 mil cartas sugeriam esse nome.","Quem levou o prêmio pela escolha do nome foi um menino do Distrito Federal.","A ideia principal da campanha do Zé Gotinha era incentivar as crianças tomar vacina.","A vacina é um assunto sério porque ela nos impede de ficar doente por causa de vírus.","Não é preciso ter medo de tomar vacina porque ela não machuca.","Poliomielite é uma doença que causa paralisia nas crianças.","Eu acho que o concurso foi feito por meio de cartas foi que era fácil esse método.","As animações do personagem que incentiva as crianças.","O criador do personagem é escultor.","Essas aspas servem para indicar fala de alguém.","Fato: Darlan virou até nome de prédio residencial na cidade. Opinião: ""Aqui, sou uma pessoa ilustre""","Medos da criança. Aumentou, cresceu.","Ficar com muito medo.","A reportagem selecionou esse desenho de Darlan Rosa"
"2021/07/09 9:05:33 PM GMT+1","4º ano","mascote de vacina","quem criou o ze gotinha","assustadoras","1986","atigamente ele ficava sentado triste e dizia que estava triste e atualmente e feliz e alegre ","por que nao queria tomar vacina ","sorteio","por que ","um menino do destrito federal ","para as pessoas querer ir tomar vacina","por que protege de nao ficar doente ","por que se vc tomar vacina vc nao fica doente ","doença que causa paralissias em crinças ","por que atigamente nao avia iternet ","gotinha por que essistem gotinha alem de vacina ai as crianças acham ","hoje ela tem 72 anos e mora em brasilia ","para representar outra pessoa "," ","dos medos ","ficar com muito medo ","arquivo pessoal darla rosa"
"2021/07/09 9:11:37 PM GMT+1","4º ano","um personagem que para que passase coragem quem  vacinace","criadora do zé gotinha","assustadoras","1986","antigamente ele era uma gotinha e agora e um boneco","porque ele não tinha nome","por um concurso","porque farias pessoas escolheram esse nome","menino do Distrino federal","insentivar a todos  tomarem vacina","porque se ninguem tomasse todo mundo ficaria doente","porque vacina e um aliado","é a doença que parailiza  as crianças","porque ninguem nunca tinha visto um personagem assim","ele ensintiva as crianças se vasinarem","a forma que fala na televeção","para destacar a fala do criador ","fato","as pessoas começam a se vacinar e nao ter medo","o susto tao grande quase morrer","arquivo personal"
"2021/07/09 9:11:47 PM GMT+1","4º ano","mascote da vacinação.","criadora do zé gotinha.","assustadoras.","1986.","antigamente ele era uma gotinha e hoje ele e um boneco.","porque ele não tinha nome.","com um concurço.","porque varias pessoas escolheram esse nome","menino do distrito federal.","deixar as pessoas sem medo de tomar vacina.","para ninguem ficar doente.","porque ela para o nosso bem.","e uma doença que paralisa as crianças.","para todos participar","porque ele e muito legal.","escutor","para destacar a fala do criador","fato","acabou o medo","estar assustado","arquivo pessoal"
"2021/07/09 9:11:47 PM GMT+1","4º ano","mascote da vacinação","criador do ze gotinha","asustadoras","1986","
antigamente ele era uma gotinha e hoje em dia ele virou um boneco","por que ele nao tinha nome ","o nome do ze gotinha foi feita no um concurso","
por que vara pessoa escolheu esse mesmo nome","um menino do distrito federal","deixa as pessoas sem tem medo de tomar a vacina","por que a vacinação e importante para a a saude ","por que o comercial era asustador","uma doença que paralisa as criança","para todos participar","ele e muito engrasadinho","escutor","para descarta a fala do criador","fato ","acabou o medo","estava asustado","arquivo pessoal"
"2021/07/09 9:12:58 PM GMT+1","4º ano","um personagem para que passase coragem para quem vacinassse","foi  a pessoa que criou o zé gotinha","assustadora","1986","antigamente ele era uma gotinha agora e um boneco","porque ele nao tinha nome","por um concurso","porque varias pessoas escolheram esse nome"," menino do distrito federal","inssentivar a todos tomarem vacina","porque se ninguem tomasse todo mundo ficaria doente","porque vacina e um aliado "," é a doença que parailissa as crianças","porque ninguem nunca tinha visto  um personagem assim","a forma que ele fala na telivisão","ele e escultor","para destacar a respost do criador","fato ","as pessoas começaram a se vacinar e não ter medofato","o susto ser tão grande quase morrer.","arquivo pessual"
"2021/07/09 9:13:30 PM GMT+1","4º ano","um personagem para que passasse coragem para quem vacinar","A pessoa que inventou zé gotinha

","precisava que todo mundo morrece de medo","zé gotinha foi criado em 1986","antigamente ele era uma gotinha agora é um boneco","por ainda n ter um nome","por um concurso","porque varias vezes o mesmo nome foi escolhido","levou o premio do nome o menino  Distrito Federal","incentivo a vacina ,falar que a vacina é boa
","porque vacina pode nos ajudar","por vacina é um aliado","doença que causa paralisia nas crianças","porque ninguém nunca tinha visto um personagem com esse carisma , houve muita empatia.","incentiva as crianças ir no posto de vacinação","ele e escultor","para destacar a resposta do criador.","fato","as pessoas começaram a vacinar e n ter medofato","o susto ser tão grande que quase morrer.","arquivo pessoal"
"2021/07/09 9:13:46 PM GMT+1","4º ano","zé gotinha e a representação da vacina.","Darlan Rosa e a inventora de Zé Gotinha.","As propagandas dele era ele chorando em um cantinho pois ele não tinha um nome.","1986 na cidade de Brasília.","1986, ele era diferente de hoje em dia , ele chorava num canto ,ele tem um nome e esta feliz com isso.
","Ele  chorava pois não tinha nome.","O nome dele foi escolhido em um concurso.","Esse nome foi escolhido pois mais de 10mil pessoas sugeriram esse nome.","Um menino do Distrito Federal.","A ideia era encorajar as crianças.","È um assunto sério pois cura e previne doenças.","Não precisamos ter medo pois se agente acreditar não vai doer.","É uma doença que causa paralisia nas crianças.","O concurso foi feito em cartas pois todos os brasileiros iriam participar.","Na minha opinião e porque ele e corajoso.","Ele trabalha como escultor.","Na minha opinião para dar sentido nas falas.","Sou uma pessoa corajosa.","As partes mais importantes.","Significa as pessoas ficarem com muito medo.","Arquivo pessoal da Darla Rosa."
